,name,price,image,product
0,Eastfield Allround Professional Wooden Table Tennis Racquet Red Table Tennis Racquet,"₹5,899",https://rukminim2.flixcart.com/image/612/612/l2ghgnk0/racquet/q/8/a/na-na-estfiled-allround-1-b01m037gdb-81-6-table-tennis-racquet-original-imagdshmuh7vbasw.jpeg?q=70,https://www.flipkart.com/eastfield-allround-professional-wooden-table-tennis-racquet-red/p/itm95e869766fec5?pid=RAQGKJUY3KUHFUYT&lid=LSTRAQGKJUY3KUHFUYTNNUMZV&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwGYgXe9OT0l36Pb4Y_5knP6SvXcnC57PYzbGoXIitQ4wg%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
1,"Eastfield Offensive Professional Wooden Table Tennis Racket Black, Red Table Tennis Racquet","₹11,899",https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/h/i/c/na-na-offensive-professional-wooden-table-tennis-racket-1-1-295-original-imagkjveghdcedbm.jpeg?q=70,https://www.flipkart.com/eastfield-offensive-professional-wooden-table-tennis-racket-black-red-racquet/p/itm6b8e23270a82a?pid=RAQGKJVED57VQC2S&lid=LSTRAQGKJVED57VQC2SRCMGWF&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwE1K0r-ZnZQBvkMjt3KkIObOiW_s8SkVWF5nBWIw-qS2w%3D%3D&ppt=sp&ppn=sp&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
2,"STAG 1 Star Red, Black Table Tennis Racquet",₹219,https://rukminim2.flixcart.com/image/612/612/kwcfngw0/racquet/s/8/c/na-1-star-na-1-351-148-table-tennis-racquet-stag-na-original-imag9fd5cha7kexs.jpeg?q=70,https://www.flipkart.com/stag-1-star-red-black-table-tennis-racquet/p/itm262a80451fae3?pid=RAQEDVYQNYSP64KD&lid=LSTRAQEDVYQNYSP64KD2QVWPS&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEDVYQNYSP64KD.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
3,GKI EURO V Multicolor Table Tennis Racquet,"₹1,719",https://rukminim2.flixcart.com/image/612/612/j9n3ekw0/racquet/3/w/7/g4-euro-v-with-soft-tatron-cover-strung-1-sprt283-323-table-original-imaeze9myrfusvne.jpeg?q=70,https://www.flipkart.com/gki-euro-v-multicolor-table-tennis-racquet/p/itm6df0a9f62b909?pid=RAQEZE4H3YGZW3W7&lid=LSTRAQEZE4H3YGZW3W7DTNNWE&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEZE4H3YGZW3W7.SEARCH&ppt=sp&ppn=sp&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
4,GKI Dragon Multicolor Table Tennis Racquet,₹840,https://rukminim2.flixcart.com/image/612/612/j9k8ivk0/racquet/h/r/t/g4-dragon-in-foam-cover-strung-1-sprt273-323-table-tennis-original-imaezbz5kgz8kp6k.jpeg?q=70,https://www.flipkart.com/gki-dragon-multicolor-table-tennis-racquet/p/itmbe6c08cd3eb2d?pid=RAQEZAVXZVQFKHRT&lid=LSTRAQEZAVXZVQFKHRTVDQ4FW&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEZAVXZVQFKHRT.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
5,GKI Offensive XX Multicolor Table Tennis Racquet,₹950,https://rukminim2.flixcart.com/image/612/612/j5h264w0/racquet/w/5/w/g4-offensive-xx-na-1-9-89-table-tennis-racquet-gki-original-imaew4e4cbpgynxp.jpeg?q=70,https://www.flipkart.com/gki-offensive-xx-multicolor-table-tennis-racquet/p/itmab2714aa1a6ea?pid=RAQEW5FAMPQ7KW5W&lid=LSTRAQEW5FAMPQ7KW5WGDWMCN&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEW5FAMPQ7KW5W.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
6,GKI EURO HYBRIDZ Table tennis Multicolor Table Tennis Racquet,"₹1,569",https://rukminim2.flixcart.com/image/612/612/jd94h3k0/racquet/u/z/b/na-euro-hybridz-table-tennis-na-1-euro-hybridz-196-table-tennis-original-imaf2yghmxdatyq7.jpeg?q=70,https://www.flipkart.com/gki-euro-hybridz-table-tennis-multicolor-racquet/p/itmdae82d7364b7b?pid=RAQEHRSF5ZWZAUZB&lid=LSTRAQEHRSF5ZWZAUZBVP9WRA&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEHRSF5ZWZAUZB.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
7,Palio Legend2.0 ITTF Approved Multicolor Table Tennis Racquet,"₹5,399",https://rukminim2.flixcart.com/image/612/612/l3rmzrk0/racquet/l/k/e/na-na-b016brj7hw-3-b016brj7hw-259-table-tennis-racquet-palio-original-imagete2h7gyemzk.jpeg?q=70,https://www.flipkart.com/palio-legend2-0-ittf-approved-multicolor-table-tennis-racquet/p/itmd598a4a902c57?pid=RAQGGHMQME43QHVU&lid=LSTRAQGGHMQME43QHVUFH6J2A&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwFuEWCVN5l7-zGGPdrEpJOa-gpJdU1OUpRX2b845h8V2Q%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
8,"VECTOR X Wooden TT Set Red, Black Table Tennis Racquet Set Multicolor Table Tennis Racquet",₹499,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/p/2/e/na-na-wooden-tt-set-red-black-table-tennis-racquet-set-2-tt-bat-original-imagkgpmfaagkyyn.jpeg?q=70,https://www.flipkart.com/vector-x-wooden-tt-set-red-black-table-tennis-racquet-multicolor/p/itm4aabc39a08544?pid=RAQGGH7WBUVTHTGQ&lid=LSTRAQGGH7WBUVTHTGQFHSGAL&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQGGH7WBUVTHTGQ.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
9,"Manogyam 2 Table Tennis Bat, 3 Table Tennis Ball Black, Red Table Tennis Racquet",₹259,https://rukminim2.flixcart.com/image/612/612/kuvkcy80/kit/4/x/g/professional-ping-pong-1pair-paddle-set-with-3pc-balls-home-original-imag7wz5h5fecbqm.jpeg?q=70,https://www.flipkart.com/manogyam-2-table-tennis-bat-3-ball-black-red-racquet/p/itm672899ff54b83?pid=RAQG7WRCRHHREYVZ&lid=LSTRAQG7WRCRHHREYVZO8XNRJ&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQG7WRCRHHREYVZ.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
10,RAR SPORTS Table Tennis Racquet Set consisting 2 Table Tennis Bats and 3 Balls Multicolor Table Tennis Racquet,₹286,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/j/s/e/na-na-table-tennis-racquet-set-consisting-2-table-tennis-bats-original-imaggd4jzzg2wy6h.jpeg?q=70,https://www.flipkart.com/rar-sports-table-tennis-racquet-set-consisting-2-bats-3-balls-multicolor/p/itmc14064b9eb195?pid=RAQGGD4JF2WXCRPZ&lid=LSTRAQGGD4JF2WXCRPZGX2PDE&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwFbE_s0J_cE8AYRyWTGCbAsG0nBgDq9W32AMw4taixlKg%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
11,"Palio Master2.0 Blue, Red Table Tennis Racquet","₹4,999",https://rukminim2.flixcart.com/image/612/612/l2ghgnk0/racquet/z/v/q/na-na-master-2-1-x000shd66n-269-table-tennis-racquet-palio-palio-original-imagdsj7huqaxhb4.jpeg?q=70,https://www.flipkart.com/palio-master2-0-blue-red-table-tennis-racquet/p/itm92525d0d14c67?pid=RAQGDSJ7HR4MKHUW&lid=LSTRAQGDSJ7HR4MKHUWDUW26O&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwG0iW8rH-aCC3BMZIEaCvlqw9RUjstov2DoQaejvuKUVw%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
12,GKI Dynamic Drive Multicolor Table Tennis Racquet,₹770,https://rukminim2.flixcart.com/image/612/612/j3j1le80/racquet/g/b/q/standard-dynamic-drive-na-1-100296-230-table-tennis-racquet-gki-original-imaeun6euann9psf.jpeg?q=70,https://www.flipkart.com/gki-dynamic-drive-multicolor-table-tennis-racquet/p/itm9f51d60333368?pid=RAQEUNCHRHC2RGBQ&lid=LSTRAQEUNCHRHC2RGBQ6FESCF&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEUNCHRHC2RGBQ.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
13,"STAG 2 Star Red, Black Table Tennis Racquet",₹228,https://rukminim2.flixcart.com/image/612/612/kwdv3bk0/racquet/b/h/a/na-2-star-na-1-p8-1-148-table-tennis-racquet-stag-na-original-imag92kg93dhsgnc.jpeg?q=70,https://www.flipkart.com/stag-2-star-red-black-table-tennis-racquet/p/itmd8abf2f067773?pid=RAQEDVYQHCY7W5HR&lid=LSTRAQEDVYQHCY7W5HRBEILRQ&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEDVYQHCY7W5HR.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
14,GKI Offensive XX Multicolor Table Tennis Racquet,"₹1,899",https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/o/a/q/-original-imagzfhbfyen3ybn.jpeg?q=70,https://www.flipkart.com/gki-offensive-xx-multicolor-table-tennis-racquet/p/itm9dd3fde45fd40?pid=RAQGNZFMA7UGBKWP&lid=LSTRAQGNZFMA7UGBKWPS1EVHB&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQGNZFMA7UGBKWP.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
15,GKI Fasto In Foam Cover Multicolor Table Tennis Racquet,"₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/a/b/i/-original-imagzfhbqczjrgfj.jpeg?q=70,https://www.flipkart.com/gki-fasto-foam-cover-multicolor-table-tennis-racquet/p/itm7450777a8617d?pid=RAQGNZFM6WDWXXFR&lid=LSTRAQGNZFM6WDWXXFRCZUODC&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQGNZFM6WDWXXFR.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
16,Palio Expert 2.0 Table Tennis Racquet & Case -ITTF Approved Multicolor Table Tennis Racquet,"₹4,449",https://rukminim2.flixcart.com/image/612/612/l05lx8w0/racquet/b/9/h/na-expert-2-0-table-tennis-racquet-case-ittf-approved-na-1-original-imagcy5cwxakvmgp.jpeg?q=70,https://www.flipkart.com/palio-expert-2-0-table-tennis-racquet-case-ittf-approved-multicolor/p/itmb0d835c7afe02?pid=RAQGCY5CSNBHQSA2&lid=LSTRAQGCY5CSNBHQSA2FA6R7I&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwGAzZvzhago22pUvhmUph8unD18t94pxQvZZ5GtHoaIKA%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
17,"Palio Master3.0 ITTF Approved Red, Black, Pink Table Tennis Racquet","₹4,899",https://rukminim2.flixcart.com/image/612/612/l2ghgnk0/racquet/v/m/1/na-na-expert-table-tennis-1-x0018spbmd-259-table-tennis-racquet-original-imagdsgegqewyhgs.jpeg?q=70,https://www.flipkart.com/palio-master3-0-ittf-approved-red-black-pink-table-tennis-racquet/p/itm38ed5a3ba98f0?pid=RAQGDSGECFZYCPXE&lid=LSTRAQGDSGECFZYCPXECY2YDY&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwEFeShSULoSB6gldU8LksuzKJN-JxGAyiboTSW9vfqS4w%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
18,SAAHI SPORTS Table Tennis Racket Multicolor Table Tennis Racquet,₹224,https://rukminim2.flixcart.com/image/612/612/kpzt7680/racquet/7/e/g/na-na-table-tennis-racket-2-ci-53-249-table-tennis-racquet-saahi-original-imag43n2db6xggnt.jpeg?q=70,https://www.flipkart.com/saahi-sports-table-tennis-racket-multicolor-racquet/p/itm8564d1578a31b?pid=RAQG43N2YAHWV25P&lid=LSTRAQG43N2YAHWV25PAGNW84&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQG43N2YAHWV25P.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
